"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"EEF1A1",0.745,0.569040628710284,0.49,0.569040628710281,0.978,0.976,"0","EEF1A1","0"
"LTB",0.739,0.789547085985226,0.478,0.789547085985229,0.884,0.561,"0","LTB","0"
"HLA-B",0.724,0.48091695407239,0.448,0.480916954072389,0.968,0.92,"0","HLA-B","0"
"FAU",0.712,0.499935188461971,0.424,0.499935188461968,0.927,0.898,"0","FAU","0"
"TPT1",0.712,0.420624037834611,0.424,0.420624037834611,0.975,0.978,"0","TPT1","0"
"UBA52",0.705,0.520957887182143,0.41,0.520957887182146,0.888,0.819,"0","UBA52","0"
"TOMM7",0.703,0.649748163273564,0.406,0.649748163273566,0.801,0.632,"0","TOMM7","0"
"TIAM2",0.774,0.524641878072693,0.548,0.524641878072693,0.962,0.774,"1","TIAM2","1"
"TEX9",0.752,0.471458503202526,0.504,0.471458503202526,0.916,0.737,"1","TEX9","1"
"ZBTB32",0.739,0.457735999754999,0.478,0.457735999755,0.955,0.868,"1","ZBTB32","1"
"S100A101",0.735,0.609734018332756,0.47,0.609734018332754,0.992,0.952,"1","S100A10","1"
"NUDC",0.734,0.643324963498578,0.468,0.643324963498576,0.999,0.873,"1","NUDC","1"
"MICU2",0.728,0.321144958509556,0.456,0.321144958509557,0.93,0.725,"1","MICU2","1"
"HPRT1",0.725,0.286570117241234,0.45,0.286570117241235,0.951,0.869,"1","HPRT1","1"
"CRIP1",0.72,0.402525329771364,0.44,0.402525329771365,0.951,0.817,"1","CRIP1","1"
"DFFA",0.72,0.259832651482365,0.44,0.259832651482365,0.918,0.697,"1","DFFA","1"
"ANXA7",0.719,0.408345833175072,0.438,0.408345833175073,0.953,0.754,"1","ANXA7","1"
"HIPK2",0.718,0.408447909328484,0.436,0.408447909328483,0.922,0.786,"1","HIPK2","1"
"PBX4",0.709,0.368293305119509,0.418,0.368293305119509,0.932,0.839,"1","PBX4","1"
"LYPLAL1",0.709,0.302152054209531,0.418,0.302152054209531,0.887,0.752,"1","LYPLAL1","1"
"ANXA2",0.706,0.442208863470483,0.412,0.442208863470485,0.986,0.883,"1","ANXA2","1"
"CD80",0.706,0.308703039647849,0.412,0.308703039647849,0.894,0.826,"1","CD80","1"
"S100A11",0.704,0.535219678542283,0.408,0.535219678542282,0.983,0.89,"1","S100A11","1"
"DNAJA4",0.704,0.483377455770791,0.408,0.483377455770792,0.91,0.845,"2","DNAJA4","2"
"IGHD",0.856,1.41482157134001,0.712,1.41482157134001,0.886,0.712,"3","IGHD","3"
"SLAMF1",0.851,0.66192115013247,0.702,0.661921150132472,0.961,0.842,"3","SLAMF1","3"
"EPB41L2",0.845,0.61858415423625,0.69,0.618584154236249,0.962,0.803,"3","EPB41L2","3"
"IL21R",0.844,0.53870974825809,0.688,0.53870974825809,0.91,0.717,"3","IL21R","3"
"PTGER4",0.843,0.393068130429745,0.686,0.393068130429746,0.962,0.8,"3","PTGER4","3"
"CPNE3",0.828,0.705238601164205,0.656,0.705238601164205,0.973,0.774,"3","CPNE3","3"
"STMN1",0.828,0.671336668386231,0.656,0.67133666838623,0.952,0.703,"3","STMN1","3"
"APP",0.821,0.368821590650533,0.642,0.368821590650532,0.921,0.636,"3","APP","3"
"TNFRSF18",0.81,0.568348048642215,0.62,0.568348048642215,0.985,0.887,"3","TNFRSF18","3"
"SESTD1",0.804,0.581385897380034,0.608,0.581385897380034,0.97,0.765,"3","SESTD1","3"
"RRAS2",0.801,0.555250414157417,0.602,0.555250414157417,0.958,0.78,"3","RRAS2","3"
"ARFGAP3",0.798,0.582960091044229,0.596,0.58296009104423,0.956,0.82,"3","ARFGAP3","3"
"RFTN1",0.794,0.607211383135539,0.588,0.607211383135538,0.932,0.734,"3","RFTN1","3"
"THAP2",0.793,0.345439102524861,0.586,0.34543910252486,0.949,0.874,"3","THAP2","3"
"YBX3",0.788,1.28917446966579,0.576,1.28917446966579,0.886,0.775,"3","YBX3","3"
"CCL4",0.787,0.422382882890058,0.574,0.422382882890058,0.955,0.827,"3","CCL4","3"
"NCK1",0.781,0.313175298279048,0.562,0.313175298279047,0.892,0.571,"3","NCK1","3"
"PMEPA1",0.777,0.860554072525467,0.554,0.860554072525466,0.876,0.67,"3","PMEPA1","3"
"ZNF331",0.776,0.787380360758375,0.552,0.787380360758375,0.946,0.773,"3","ZNF331","3"
"PRKCD",0.775,0.287478547977512,0.55,0.287478547977513,0.903,0.622,"3","PRKCD","3"
"REL",0.774,0.882154492351209,0.548,0.882154492351209,1,0.951,"3","REL","3"
"ITPKB",0.773,0.460924826676156,0.546,0.460924826676155,0.914,0.687,"3","ITPKB","3"
"NRIP1",0.772,0.490472491325889,0.544,0.490472491325889,0.935,0.873,"3","NRIP1","3"
"STX4",0.772,0.412562335022431,0.544,0.412562335022431,0.923,0.665,"3","STX4","3"
"NCK2",0.77,0.613607008704467,0.54,0.613607008704467,0.904,0.734,"3","NCK2","3"
"METTL16",0.77,0.263709058618742,0.54,0.263709058618742,0.906,0.531,"3","METTL16","3"
"VPS4A",0.769,0.271926451953996,0.538,0.271926451953996,0.897,0.518,"3","VPS4A","3"
"ZBTB11",0.767,0.300852364517312,0.534,0.300852364517312,0.901,0.588,"3","ZBTB11","3"
"INPP5F",0.766,0.348306067587586,0.532,0.348306067587585,0.931,0.746,"3","INPP5F","3"
"DUSP10",0.765,0.337586376080934,0.53,0.337586376080934,0.946,0.771,"3","DUSP10","3"
"HLA-DRA",0.761,0.620048656680757,0.522,0.620048656680756,1,0.912,"3","HLA-DRA","3"
"PDXK",0.76,0.395555337140802,0.52,0.395555337140802,0.966,0.845,"3","PDXK","3"
"HLA-DPB1",0.759,0.714402237782595,0.518,0.714402237782595,0.994,0.875,"3","HLA-DPB1","3"
"LAPTM5",0.758,0.801620977929677,0.516,0.801620977929675,0.973,0.856,"3","LAPTM5","3"
"HLA-DQB1",0.757,0.686640363826333,0.514,0.686640363826332,0.973,0.851,"3","HLA-DQB1","3"
"STXBP3",0.757,0.379865198175159,0.514,0.379865198175158,0.945,0.761,"3","STXBP3","3"
"OSBPL8",0.756,0.754593106736118,0.512,0.754593106736118,0.975,0.86,"3","OSBPL8","3"
"GBP2",0.755,0.399622786000615,0.51,0.399622786000616,0.911,0.71,"3","GBP2","3"
"SFT2D2",0.754,0.436473868021451,0.508,0.436473868021451,0.948,0.745,"3","SFT2D2","3"
"CLEC2B",0.753,0.658068283297722,0.506,0.658068283297722,0.942,0.783,"3","CLEC2B","3"
"HLA-DQA1",0.752,0.820396988238102,0.504,0.820396988238102,0.996,0.833,"3","HLA-DQA1","3"
"GLA",0.752,0.450151154765776,0.504,0.450151154765778,0.977,0.835,"3","GLA","3"
