"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"SLC38A1",0.825,0.755069520343919,0.65,0.755069520343921,0.999,0.932,"0","SLC38A1","0"
"EEF1A1",0.82,1.20675608008473,0.64,1.20675608008473,1,0.996,"0","EEF1A1","0"
"LEPROTL1",0.791,0.726639106507798,0.582,0.726639106507796,0.987,0.61,"0","LEPROTL1","0"
"FDX1",0.783,0.629730511531366,0.566,0.629730511531366,0.98,0.441,"0","FDX1","0"
"PBXIP1",0.781,0.716473137273209,0.562,0.716473137273209,0.998,0.799,"0","PBXIP1","0"
"TPT1",0.765,1.00112990043102,0.53,1.00112990043102,1,0.993,"0","TPT1","0"
"PGAM1",0.751,0.83510970008961,0.502,0.835109700089611,0.973,0.562,"0","PGAM1","0"
"JAK1",0.75,0.791046518341914,0.5,0.791046518341914,0.999,0.825,"0","JAK1","0"
"RARRES3",0.744,1.16805493157778,0.488,1.16805493157779,0.998,0.755,"0","RARRES3","0"
"FAU",0.721,1.07188431826518,0.442,1.07188431826518,0.999,0.976,"0","FAU","0"
"FAM107B",0.721,0.994522486457752,0.442,0.994522486457753,1,0.975,"0","FAM107B","0"
"SNRPF",0.718,0.547163450319302,0.436,0.547163450319302,0.989,0.704,"0","SNRPF","0"
"LARP1",0.714,0.554832617574612,0.428,0.554832617574613,0.895,0.382,"0","LARP1","0"
"NACA",0.711,1.50151842109151,0.422,1.50151842109151,0.999,0.973,"0","NACA","0"
"B4GALT1",0.711,0.537422712218588,0.422,0.537422712218587,0.998,0.874,"0","B4GALT1","0"
"GAPDH",0.774,0.914971883704947,0.548,0.914971883704947,0.907,0.862,"0","GAPDH","0"
"MYL12A",0.732,1.10731333201003,0.464,1.10731333201003,0.758,0.684,"0","MYL12A","0"
"SH3BGRL3",0.722,1.12371654296129,0.444,1.12371654296129,0.735,0.618,"0","SH3BGRL3","0"
"ATP5F1E",0.716,1.00525434869302,0.432,1.00525434869302,0.763,0.723,"0","ATP5F1E","0"
"ARPC2",0.706,1.15124212184967,0.412,1.15124212184967,0.687,0.587,"0","ARPC2","0"
"AC007114.2",0.953,0.333539723152366,0.906,0.333539723152366,0.986,0.763,"1","AC007114.2","1"
"GJA1",0.948,0.746811800876942,0.896,0.746811800876943,0.991,0.522,"1","GJA1","1"
"SOD3",0.947,0.520199042374519,0.894,0.520199042374519,0.987,0.641,"1","SOD3","1"
"SMARCA1",0.947,0.467042802977288,0.894,0.467042802977288,0.991,0.659,"1","SMARCA1","1"
"TLN2",0.94,0.551189244251589,0.88,0.551189244251589,0.98,0.911,"1","TLN2","1"
"PRSS16",0.938,0.40102920021923,0.876,0.40102920021923,0.987,0.547,"1","PRSS16","1"
"TRAM2",0.927,0.342930865529266,0.854,0.342930865529266,0.982,0.548,"1","TRAM2","1"
"ACVR1B",0.926,0.673966633563248,0.852,0.673966633563248,0.993,0.55,"1","ACVR1B","1"
"USP54",0.926,0.430028386586138,0.852,0.430028386586138,0.962,0.397,"1","USP54","1"
"VPS8",0.924,0.743868701976843,0.848,0.743868701976843,0.982,0.469,"1","VPS8","1"
"HLTF",0.918,0.467282373540982,0.836,0.467282373540982,0.984,0.551,"1","HLTF","1"
"AP4M1",0.918,0.408104219077763,0.836,0.408104219077763,0.978,0.389,"1","AP4M1","1"
"MAPKAPK5-AS1",0.917,0.479971648336824,0.834,0.479971648336823,0.991,0.78,"1","MAPKAPK5-AS1","1"
"RAB20",0.914,0.478762203471328,0.828,0.478762203471328,0.987,0.525,"1","RAB20","1"
"DOHH",0.909,0.253671178274505,0.818,0.253671178274506,0.989,0.579,"1","DOHH","1"
"NUDT3",0.908,0.453825793368069,0.816,0.453825793368069,0.976,0.492,"1","NUDT3","1"
"MYL6B",0.907,0.374053508788988,0.814,0.374053508788988,0.986,0.487,"1","MYL6B","1"
"TMEM246",0.907,0.261799178138444,0.814,0.261799178138444,0.949,0.275,"1","TMEM246","1"
"NUDT9",0.903,0.285961471114178,0.806,0.285961471114178,0.98,0.323,"1","NUDT9","1"
"EMP1",0.902,1.04914033390987,0.804,1.04914033390987,0.989,0.95,"1","EMP1","1"
"TOR4A",0.9,0.463412690051768,0.8,0.463412690051769,0.971,0.627,"1","TOR4A","1"
"XPO6",0.9,0.389499479574899,0.8,0.389499479574898,0.982,0.529,"1","XPO6","1"
