"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"FBLN1",0.933,2.34864221591521,0.866,2.34864221591521,0.968,0.554,"0","FBLN1","0"
"TENM3",0.89,0.317518108029209,0.78,0.317518108029209,0.897,0.361,"0","TENM3","0"
"COL1A2",0.874,1.68045129763875,0.748,1.68045129763876,0.987,0.889,"0","COL1A2","0"
"C3",0.86,1.57376282869205,0.72,1.57376282869205,0.917,0.378,"0","C3","0"
"MGP",0.857,1.66632448460673,0.714,1.66632448460673,0.994,0.858,"0","MGP","0"
"PAPPA",0.853,0.802630891152921,0.706,0.80263089115292,0.898,0.436,"0","PAPPA","0"
"IGF1",0.847,1.49080400229538,0.694,1.49080400229538,0.911,0.527,"0","IGF1","0"
"ALDH1L2",0.841,0.368984464656228,0.682,0.368984464656229,0.895,0.69,"0","ALDH1L2","0"
"COL1A1",0.838,1.65824662678433,0.676,1.65824662678433,0.968,0.888,"0","COL1A1","0"
"CCDC80",0.833,1.52166433917615,0.666,1.52166433917615,0.932,0.665,"0","CCDC80","0"
"KDELC1",0.831,0.253709963719794,0.662,0.253709963719794,0.879,0.57,"0","KDELC1","0"
"SERPINE2",0.824,1.28445063862729,0.648,1.28445063862729,0.875,0.559,"0","SERPINE2","0"
"SLC38A10",0.816,0.518437583968934,0.632,0.518437583968935,0.93,0.587,"0","SLC38A10","0"
"COL4A4",0.815,0.563198451018874,0.63,0.563198451018874,0.781,0.364,"0","COL4A4","0"
"COL3A1",0.812,1.64074446664277,0.624,1.64074446664277,0.978,0.91,"0","COL3A1","0"
"MN1",0.81,0.334379017467499,0.62,0.334379017467499,0.821,0.552,"0","MN1","0"
"SERPINF1",0.809,1.10668339987203,0.618,1.10668339987203,0.959,0.787,"0","SERPINF1","0"
"ITM2A",0.808,0.943824806390593,0.616,0.943824806390593,0.868,0.489,"0","ITM2A","0"
"QSOX1",0.806,0.642529666771567,0.612,0.642529666771566,0.951,0.666,"0","QSOX1","0"
"COL5A1",0.801,1.15479492970374,0.602,1.15479492970374,0.962,0.778,"0","COL5A1","0"
"ZNF385A",0.801,0.2897063981596,0.602,0.2897063981596,0.873,0.518,"0","ZNF385A","0"
"SPON1",0.799,0.863364587084191,0.598,0.863364587084191,0.803,0.283,"0","SPON1","0"
"TMEM119",0.799,0.585770337170163,0.598,0.585770337170163,0.868,0.593,"0","TMEM119","0"
"PRICKLE1",0.799,0.420713003041171,0.598,0.420713003041171,0.83,0.409,"0","PRICKLE1","0"
"VCAN",0.794,1.16371349148106,0.588,1.16371349148106,0.871,0.45,"0","VCAN","0"
"ANAPC13",0.794,0.329449400290055,0.588,0.329449400290055,0.903,0.564,"0","ANAPC13","0"
"TCTN1",0.793,0.294775456361564,0.586,0.294775456361563,0.875,0.471,"0","TCTN1","0"
"NCALD",0.792,0.312918977759165,0.584,0.312918977759165,0.898,0.597,"0","NCALD","0"
"URM1",0.791,0.273063892357352,0.582,0.273063892357352,0.86,0.386,"0","URM1","0"
"ELN",0.783,0.70782701958084,0.566,0.70782701958084,0.951,0.828,"0","ELN","0"
"H6PD",0.782,0.27919374080792,0.564,0.27919374080792,0.849,0.436,"0","H6PD","0"
"PLXDC2",0.78,0.921561613223526,0.56,0.921561613223527,0.848,0.55,"0","PLXDC2","0"
"FBN1",0.778,1.08038953592584,0.556,1.08038953592584,0.952,0.731,"0","FBN1","0"
"CHPF",0.778,0.455642427227554,0.556,0.455642427227555,0.897,0.642,"0","CHPF","0"
"MMP23B",0.776,0.803035640502224,0.552,0.803035640502224,0.814,0.602,"0","MMP23B","0"
"TMEM39A",0.776,0.27487769539022,0.552,0.27487769539022,0.76,0.299,"0","TMEM39A","0"
"GABPA",0.776,0.260865014445208,0.552,0.260865014445209,0.886,0.488,"0","GABPA","0"
"PLPP1",0.775,0.615902314886122,0.55,0.615902314886123,0.933,0.596,"0","PLPP1","0"
"CLU",0.772,1.13549990482195,0.544,1.13549990482195,0.946,0.737,"0","CLU","0"
"FSTL1",0.772,0.951745724159177,0.544,0.951745724159176,0.914,0.78,"0","FSTL1","0"
"GNS",0.771,0.432952899384634,0.542,0.432952899384634,0.921,0.611,"0","GNS","0"
"C1R",0.766,0.96239793660656,0.532,0.962397936606558,0.956,0.795,"0","C1R","0"
"WDR45",0.763,0.303021749712333,0.526,0.303021749712333,0.884,0.432,"0","WDR45","0"
"SULF2",0.76,0.753657304720337,0.52,0.753657304720338,0.757,0.364,"0","SULF2","0"
"SCARA3",0.759,0.284917743393888,0.518,0.284917743393888,0.811,0.456,"0","SCARA3","0"
