"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"LGALS3",0.723,0.980193234586894,0.446,0.980193234586894,0.938,0.843,"1","LGALS3","1"
"GPATCH4",0.743,0.308891918936329,0.486,0.308891918936329,0.936,0.841,"2","GPATCH4","2"
"DUSP6",0.739,0.569623555336421,0.478,0.569623555336422,0.995,0.813,"2","DUSP6","2"
"SH3BGRL3",0.723,0.378367650230768,0.446,0.378367650230768,1,0.956,"2","SH3BGRL3","2"
"RHOBTB3",0.721,0.517495288144795,0.442,0.517495288144795,0.995,0.93,"2","RHOBTB3","2"
"IFNGR2",0.719,0.418248485348983,0.438,0.418248485348983,0.989,0.932,"2","IFNGR2","2"
"SLC27A2",0.708,0.31296202440283,0.416,0.31296202440283,0.894,0.827,"2","SLC27A2","2"
"MCRIP2",0.707,0.36953420253829,0.414,0.36953420253829,0.915,0.762,"2","MCRIP2","2"
"VIM",0.706,0.314815610383739,0.412,0.314815610383739,1,1,"2","VIM","2"
"MAN2A2",0.855,0.291679097479918,0.71,0.291679097479918,0.807,0.289,"3","MAN2A2","3"
"PRH1",0.829,0.465111404347592,0.658,0.465111404347592,0.886,0.584,"3","PRH1","3"
"HIST1H2BG",0.826,0.614290375443169,0.652,0.614290375443169,0.83,0.377,"3","HIST1H2BG","3"
"ZNF254",0.805,0.46942995772549,0.61,0.46942995772549,0.852,0.515,"3","ZNF254","3"
"KIT",0.799,0.822248819554886,0.598,0.822248819554886,0.977,0.785,"3","KIT","3"
"FAM208A",0.793,0.270705866015921,0.586,0.270705866015921,0.818,0.496,"3","FAM208A","3"
"AL031777.3",0.787,0.572967202093696,0.574,0.572967202093696,0.841,0.635,"3","AL031777.3","3"
"CCDC18",0.787,0.312997643406665,0.574,0.312997643406665,0.83,0.68,"3","CCDC18","3"
"MPPE1",0.779,0.494693069456408,0.558,0.494693069456408,0.807,0.527,"3","MPPE1","3"
"Z82206.1",0.779,0.44185803225006,0.558,0.44185803225006,0.773,0.489,"3","Z82206.1","3"
"EVPL",0.779,0.276131528796891,0.558,0.276131528796891,0.75,0.382,"3","EVPL","3"
"CEP192",0.777,0.299234235401852,0.554,0.299234235401852,0.739,0.342,"3","CEP192","3"
"KAT6B",0.776,0.489416899917675,0.552,0.489416899917675,0.898,0.739,"3","KAT6B","3"
"TAZ",0.763,0.264530758244599,0.526,0.264530758244599,0.773,0.459,"3","TAZ","3"
"INPP5D",0.762,0.252391591951504,0.524,0.252391591951504,0.75,0.386,"3","INPP5D","3"
"TMEM205",0.757,0.417945445854101,0.514,0.417945445854101,0.864,0.528,"3","TMEM205","3"
"ZNF720",0.755,0.270302451723783,0.51,0.270302451723783,0.841,0.676,"3","ZNF720","3"
"PPCS",0.754,0.473896281004869,0.508,0.473896281004869,0.841,0.482,"3","PPCS","3"
"SLC45A3",0.752,0.719224660177816,0.504,0.719224660177816,0.864,0.598,"3","SLC45A3","3"
"EHMT1",0.751,0.416794929608877,0.502,0.416794929608877,0.818,0.633,"3","EHMT1","3"
"TM2D3",0.751,0.406302421379137,0.502,0.406302421379137,0.875,0.562,"3","TM2D3","3"
"CPT1A",0.751,0.326564912028533,0.502,0.326564912028533,0.875,0.775,"3","CPT1A","3"
"ZNF83",0.749,0.25748161122807,0.498,0.25748161122807,0.852,0.623,"3","ZNF83","3"
"SEPT1",0.748,0.262953499359586,0.496,0.262953499359586,0.807,0.538,"3","SEPT1","3"
"SSBP2",0.747,0.336796364535539,0.494,0.336796364535539,0.807,0.506,"3","SSBP2","3"
"XPA",0.747,0.277758669942761,0.494,0.277758669942761,0.886,0.793,"3","XPA","3"
"SLC35B2",0.746,0.347922208122385,0.492,0.347922208122385,0.625,0.212,"3","SLC35B2","3"
"ANKRD44",0.745,0.623206229672425,0.49,0.623206229672426,0.83,0.65,"3","ANKRD44","3"
"HOXB4",0.745,0.368203492171549,0.49,0.368203492171549,0.818,0.575,"3","HOXB4","3"
"GATAD1",0.741,0.580800822738956,0.482,0.580800822738956,0.864,0.658,"3","GATAD1","3"
"AC091271.1",0.741,0.470335290777183,0.482,0.470335290777183,0.818,0.634,"3","AC091271.1","3"
"CHST2",0.74,0.335429898938724,0.48,0.335429898938724,0.739,0.464,"3","CHST2","3"
"VWA5A",0.739,0.70926522568918,0.478,0.70926522568918,0.955,0.779,"3","VWA5A","3"
"VAV3",0.739,0.477622229640485,0.478,0.477622229640485,0.886,0.828,"3","VAV3","3"
"TMC6",0.736,0.380176265235856,0.472,0.380176265235857,0.886,0.735,"3","TMC6","3"
"ANKRD36B",0.735,0.427978541951883,0.47,0.427978541951883,0.716,0.464,"3","ANKRD36B","3"
"PUM2",0.735,0.396971509229987,0.47,0.396971509229988,0.818,0.666,"3","PUM2","3"
"USP48",0.734,0.380285551141104,0.468,0.380285551141104,0.92,0.837,"3","USP48","3"
