"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene","maxcell"
"FTH1",0.945,1.85978662314577,0.89,1.85978662314577,1,0.996,"0","FTH1","0"
"IFITM2",0.934,2.54471979332902,0.868,2.54471979332902,0.992,0.953,"0","IFITM2","0"
"NAMPT",0.914,1.93161438223109,0.828,1.93161438223109,0.982,0.903,"0","NAMPT","0"
"SRGN",0.899,1.42945381450035,0.798,1.42945381450035,0.992,0.982,"0","SRGN","0"
"BCL2A1",0.892,2.0479311016869,0.784,2.0479311016869,0.974,0.799,"0","BCL2A1","0"
"HES4",0.882,2.30772071197449,0.764,2.30772071197449,0.936,0.681,"0","HES4","0"
"CXCL8",0.882,1.94063102723297,0.764,1.94063102723297,0.982,0.862,"0","CXCL8","0"
"S100A8",0.873,2.585156339889,0.746,2.585156339889,0.919,0.701,"0","S100A8","0"
"S100A9",0.862,2.1801024898791,0.724,2.1801024898791,0.959,0.85,"0","S100A9","0"
"PHACTR1",0.851,1.94302889226708,0.702,1.94302889226708,0.97,0.889,"0","PHACTR1","0"
"G0S2",0.851,1.55413175905583,0.702,1.55413175905583,0.966,0.821,"0","G0S2","0"
"C15orf48",0.849,2.22967852982738,0.698,2.22967852982738,0.951,0.731,"0","C15orf48","0"
"NEAT1",0.847,1.12633514427457,0.694,1.12633514427458,0.985,0.88,"0","NEAT1","0"
"PPIF",0.841,2.17990675264116,0.682,2.17990675264116,0.908,0.615,"0","PPIF","0"
"SOD2",0.839,1.52825333192028,0.678,1.52825333192028,0.985,0.922,"0","SOD2","0"
"CXCR4",0.83,1.78572619189617,0.66,1.78572619189617,0.948,0.861,"0","CXCR4","0"
"C5AR1",0.828,1.69065090119578,0.656,1.69065090119577,0.929,0.675,"0","C5AR1","0"
"H3F3A",0.826,1.03995462486577,0.652,1.03995462486577,0.995,0.972,"0","H3F3A","0"
"TREM1",0.823,1.98010900887215,0.646,1.98010900887215,0.854,0.602,"0","TREM1","0"
"CSF3R",0.821,1.89220260545991,0.642,1.89220260545991,0.865,0.659,"0","CSF3R","0"
"AC023157.3",0.818,1.73866333333946,0.636,1.73866333333946,0.825,0.537,"0","AC023157.3","0"
