gene	pvalue	HR	CI	nHighgroup	nLowgroup
AC068633.1	3.08680556670993e-08	17.0714285714286	95% CI: 0.07 - 4414.31	2	46
IGHV3-38	2.88103717993593e-07	8.80295625960119	95% CI: 0.56 - 138.27	4	44
LINC02528	1.62557827509957e-06	5.58056150298543	95% CI: 1.11 - 28.08	8	40
FAM110A	2.2121951525067e-06	5.25963907970202	95% CI: 2.48 - 11.18	24	24
AL583803.1	3.88381507510083e-06	12.5749414519906	95% CI: 0.11 - 1490.11	2	46
MOSPD3	1.20835406421937e-05	4.41248443971846	95% CI: 2.08 - 9.36	24	24
DGKZ	1.54772235076983e-05	4.32055210478688	95% CI: 2.04 - 9.15	24	24
TRAJ55	2.01623230602355e-05	8.05183420032772	95% CI: 0.37 - 176.64	3	45
EDDM3B	2.10222194089171e-05	11.0168671164564	95% CI: 0.13 - 965.17	2	46
AC093334.1	2.16210069147182e-05	8.00119868301901	95% CI: 0.37 - 173.88	4	44
LINC01627	4.89067074032068e-05	7.50339208423325	95% CI: 0.38 - 148.34	3	45
AC112907.1	5.89411727552891e-05	9.94712430426716	95% CI: 0.14 - 699.53	2	46
IGHV3OR16-11	6.96415744342316e-05	7.25059182118875	95% CI: 0.39 - 136.46	3	45
IGKV2OR22-3	8.00478642867253e-05	9.77426004866304	95% CI: 0.14 - 662.68	2	46
TSC22D4	8.88249108064176e-05	3.7378576425085	95% CI: 1.76 - 7.92	24	24
XYLT2	0.000100593541596528	3.5719663074255	95% CI: 1.66 - 7.66	24	24
AC004870.4	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC004941.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC005786.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC007557.3	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC008799.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC009108.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC009166.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC009988.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC012038.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC012593.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC020595.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC021660.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC021818.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC021860.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC022486.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC022695.3	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC023905.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC025566.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC044784.2	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC079763.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC079779.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC090150.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC090527.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC093871.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC099313.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC100863.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
AC104241.1	0.000107511176729469	16.5172413793103	95% CI: 0.01 - 42295.67	1	47
